@relation train_model

@attribute numHashtags numeric
@attribute numUpperCases numeric
@attribute numUrls numeric
@attribute sentimentScore numeric
@attribute cntFollowers numeric
@attribute cntFriends numeric
@attribute followers2friends numeric
@attribute diffInDays numeric
@attribute cntLists numeric
@attribute cntPosts numeric
@attribute cntAdjective numeric
@attribute cntAdverbs numeric
@attribute cntVerbs numeric
@attribute meanWordsPerSentence numeric
@attribute meanWordLength numeric
@attribute class {normal,spam,aggressive,bully}

@data
3,1.2,0.9,0.2,1,0,1,377,3,2402,5,5,10,14.3,9.089,bully
3.3,1.8,0.7,0.2,1,0,1,377,3,2402,1,0,17,12.8,9.141,bully
3.1,1.9,0.6,0.2,1,0,1,377,3,2402,2,1,5,12.5,10.171,normal
3.7,1.3,0.9,0.2,1,0,1,377,3,2402,1,3,23,13.3,9.175,normal
1,2.6,0.3,0.2,7,57,0.122807,763,5,1759,3,1,1,7,22.315,normal
1,2.4,0.4,0.2,39,45,0.866667,416,1,1751,1,0,0,9.2,13.177,spam
2.4,1,3.2,0.2,16,44,0.363636,298,8,1587,0,0,1,5.2,9.617,spam
3,0,2,0.2,35,63,0.555556,213,5,1465,1,1,9,13.8,7.761,normal
1,0.7,0.2,0.2,19,125,152,334,0,1415,3,0,2,15,7.704,normal
1,2.8,0,0.2,2,6,0.333333,411,0,1143,0,0,0,13.4,4.83,normal
1,0.4,0.6,0.2,444,641,0.692668,369,2,1134,3,1,11,8.4,7.72,spam
1,0,1,0.2,0,6,0,907,0,547,0,0,4,12.5,5.711,normal
1,3.2,0,0.2,0,0,0,336,0,258,0,1,5,8.5,5.118,spam
1,5.9,0,0.2,0,0,0,336,0,258,0,0,0,13.4,4.868,spam
1,4,0,0.2,0,5,0,405,0,149,0,0,0,14.2,6.627,spam
1,2.4,0,0.2,0,5,0,405,0,149,0,0,0,11,5.564,normal
1.2,3.2,0,0.2,0,5,0,344,0,111,2,3,21,8.8,8.143,normal
1.4,1,0.6,0.2,283709,235350,1.205477,2202,4327,323778,2,4,23,17.4,5.652,normal
1,0.8,0.4,0.2,283709,235350,1.205477,2202,4327,323778,3,1,15,14,6.087,normal
1.4,0.4,0.2,0.2,283709,235350,1.205477,2202,4327,323778,3,2,18,15.8,6.286,normal
3.6,2.2,1,0.2,74540,67472,1.104755,969,1075,758044,4,1,10,17.6,6.902,normal
4,1.2,1,0.2,74540,67472,1.104755,969,1075,758044,4,2,5,17,7.154,normal
3.8,2.2,1,0.2,74540,67472,1.104755,969,1075,758044,2,0,8,17.4,7.028,normal
4,1,1,0.17,113,252,0.448413,1883,8,2027,0,2,4,11.667,9.631,normal
2.333333,0.333333,1,0.17,37,73,0.506849,818,0,872,1,0,3,5.333,12.957,normal
2,2.833333,1,0.17,978,285,3.431579,2803,74,249955,8,1,4,12.333,6.945,spam
1,0.666667,0.5,0.17,4756,3745,1.26996,573,7,16792,2,4,13,13,6.72,spam
2.5,0.833333,1.166667,0.17,3784,4548,0.832014,1612,287,146730,2,1,3,13.5,8.465,normal
1.5,3.333333,0.833333,0.17,872,1083,0.805171,479,1,13926,4,3,13,13,7.385,normal
1.166667,5,0.5,0.17,994,780,1.274359,1048,0,1985,0,4,22,16.333,5.973,spam
3,2,2,0.17,1214,988,1.228745,1413,3,1779,12,0,0,16,7.396,spam
1,5.333333,0.5,0.17,14493,9038,1.603563,1404,34,162605,6,7,11,9.667,7.127,normal
1,1.666667,0.833333,0.17,109,139,0.784173,517,0,1776,4,2,6,8.333,8.59,spam
3,0,2,0.17,18,41,0.439024,183,3,747,3,2,6,11.667,8.439,spam
3,1.833333,1,0.17,4996,298,16.765101,2248,57,110001,2,0,0,10,7.181,spam
3,1.666667,1,0.17,4996,298,16.765101,2248,57,110001,1,0,3,9.333,7.55,spam
1,6.833333,0,0.17,4,47,0.085106,846,0,38725,0,0,1,22.5,3.928,spam
1,1.333333,0.333333,0.17,13,23,0.565217,377,1,1265,3,2,2,9,7.347,normal
2,0.166667,0.166667,0.17,1,2,0.5,605,0,7458,4,7,8,10.333,8.571,normal
3.833333,1.166667,1,0.17,241,31,7.774194,1278,44,411569,5,0,0,7.667,9.488,spam
2,6.833333,1,0.17,511,62,8.241935,2748,77,376713,2,0,11,19.333,6.125,normal
1,1.333333,0.5,0.17,253,2,126.5,830,29,164266,5,0,8,13.5,5.435,spam
1,1.833333,0.5,0.17,253,2,126.5,830,29,164266,0,2,6,11.167,5.653,normal
1,2.333333,0.166667,0.17,20095,47,427.553192,1336,28,46922,1,2,10,8.167,6.992,bully
1,2.166667,0.333333,0.17,39,45,0.866667,416,1,1751,1,3,2,9.667,5.258,spam
1,1.833333,0,0.17,15,101,0.148515,1655,1,836,2,2,4,11,6.036,normal
1,3.5,0,0.17,0,0,0,336,0,258,0,0,3,8,5.108,spam
1,4.666667,0,0.17,0,5,0,405,0,149,0,0,1,17.833,6.276,normal
1.833333,0.666667,1.166667,0.17,283709,235350,1.205477,2202,4327,323778,6,5,9,11,7.951,normal
3.666667,3,1,0.17,74540,67472,1.104755,969,1075,758044,7,1,15,16.5,7.369,normal
1.666667,0.166667,0.333333,0.17,33704,28631,1.177186,2833,721,260696,1,5,18,13.5,6.153,normal
3.714286,1.428571,0.714286,0.14,483,1995,0.242105,1211,31,14979,3,1,17,14.714,7.66,normal
3.285714,1.428571,0.857143,0.14,21056,23018,0.914762,2966,836,627405,6,4,12,14.571,8.172,normal
1,0.714286,0.285714,0.14,1473,1914,0.769592,522,1,4991,1,3,10,10.429,7.453,spam
1.571429,1.714286,0.571429,0.14,1364,1309,1.042017,1583,12,25160,2,1,3,15.429,5.834,normal
1,0.142857,0.285714,0.14,404,680,0.594118,628,1,785,1,2,8,5.429,10.912,normal
1.285714,7.142857,0.571429,0.14,17,10,1.7,334,0,1048,1,7,15,15.857,5.22,spam
3,1.428571,1,0.14,4996,298,16.765101,2248,57,110001,0,0,1,9.286,7.737,spam
1.428571,2.714286,0.285714,0.14,104,144,0.722222,399,3,6133,2,1,7,9.286,11.352,normal
2,0.714286,0.142857,0.14,83,29,2.862069,426,40,33809,2,0,13,8.143,7.99,normal
2,0.285714,0,0.14,7,98,0.071429,425,0,4890,5,3,16,12.429,6.47,normal
1.142857,1.571429,0,0.14,7,57,0.122807,763,5,1759,3,1,1,6.286,10.14,normal
3,2.285714,2,0.14,0,0,0,297,1,90,5,7,23,17.429,7.517,spam
3.714286,0.571429,1,0.14,74540,67472,1.104755,969,1075,758044,10,3,11,17.714,6.868,normal
1.5,1375,0.25,0.13,5090,5063,1.005333,785,56,499,6,1,18,15,6.227,normal
1.25,2625,0.5,0.13,171,274,0.624088,345,1,5953,1,1,4,13.375,5.364,normal
2875,1125,1125,0.13,515,2244,0.229501,1256,68,5765,7,1,15,14.75,8.464,normal
1.75,2375,0.5,0.13,286,59,4.847458,342,3,5907,5,3,17,15.5,6.037,normal
2375,1125,0.75,0.13,660,609,1.083744,994,105,129034,1,0,5,11.875,10.005,spam
2,4125,1.75,0.13,211,66,3.19697,2741,38,333256,0,12,0,13.625,8.307,spam
1,875,0.25,0.13,1,2,0.5,605,0,7458,3,2,13,9.875,8.013,normal
1,2,0,0.13,1,1,1,331,0,452,0,0,2,5,6.98,spam
2125,6.75,1,0.13,511,62,8.241935,2748,77,376713,6,1,13,18.75,6.229,spam
2,5625,1,0.13,511,62,8.241935,2748,77,376713,4,1,14,18.125,6.584,spam
1,0.25,2,0.13,46,0,46,565,11,18305,3,4,13,12.75,7.991,spam
2,1.5,0,0.13,2,12,0.166667,339,0,1632,4,0,7,12.5,9.85,normal
2625,2625,2375,0.13,3,1,3,298,7,685,6,5,26,16.75,7.516,spam
2.888889,1.222222,0.888889,0.11,18,152,0.118421,181,2,137,12,5,22,17,6.655,normal
1.111111,0.444444,0,0.11,177,310,0.570968,972,7,34118,0,0,5,7.222,7.522,normal
2.111111,1,2,0.11,95714,0,95714,446,126,380,10,4,13,15.222,8.613,normal
0.9,1.4,0.5,0.1,147,293,0.501706,1116,0,638,8,6,11,7.3,10.865,normal
1.1,2.8,0.5,0.1,799,653,1.223583,579,3,28103,2,2,11,13.5,6.245,spam
4,3.2,0.7,0.1,22,211,0.104265,181,0,217,8,9,21,17.9,6.867,normal
3.7,1,0.8,0.1,22,211,0.104265,181,0,217,11,9,37,16.8,6.863,normal
3.6,2.2,0.4,0.1,22,211,0.104265,181,0,217,11,10,35,19,6.111,normal
1.1,3.3,0.7,0.1,3422,1402,2.440799,1649,71,123668,6,8,22,11.9,9.143,normal
1.1,2,0.9,0.1,286,59,4.847458,342,3,5907,6,5,18,12.7,6.368,normal
2.2,1.6,0.8,0.1,660,609,1.083744,994,105,129034,1,4,20,14.8,8.367,bully
3.1,1.8,0.8,0.1,660,609,1.083744,994,105,129034,1,0,10,12,10.946,spam
1.4,2.6,0.6,0.1,1364,1309,1.042017,1583,12,25160,2,2,9,13.7,6.095,normal
1,0.2,0.5,0.1,404,680,0.594118,628,1,785,4,6,19,8.8,9.057,spam
2,1.2,0,0.1,11,414,0.02657,638,0,402,4,1,3,8.3,5.68,normal
1,2.2,0.4,0.1,190,48,3.958333,427,0,6955,7,4,16,13.3,5.826,normal
1,0.7,0.4,0.1,559,735,0.760544,437,27,69572,2,3,12,8.4,8.118,normal
0.9,3.5,0.2,0.1,61,243,0.251029,379,8,9429,5,5,22,10.9,8.133,normal
1,0.8,0.3,0.1,29,54,0.537037,954,5,28626,5,5,13,9.7,8.015,normal
1,0.7,0.4,0.1,29,54,0.537037,954,5,28626,2,6,13,10.5,8.758,normal
1,1.1,0.1,0.1,1,2,0.5,605,0,7458,5,2,18,11.9,7.339,normal
1,1,0,0.1,3,22,0.136364,406,1,3922,3,4,10,8.7,8.416,normal
3.8,1.9,1,0.1,241,31,7.774194,1278,44,411569,4,0,1,8.1,9.542,normal
1.5,2.1,0.4,0.1,83,29,2.862069,426,40,33809,0,1,4,8.9,9.894,normal
1,2.6,0.3,0.1,2054,2047,1.00342,452,2,7266,2,2,6,9.6,5.442,spam
3.1,1.5,1,0.1,1,0,1,377,3,2402,3,1,15,12.9,9.613,spam
